filename,pred_yolo,gt,class,iou_pred_c_gt,ioa_pred_c_gt,iou_pred_gt,ioa_pred_gt,score,box_inner,box_outer,cover,avg_area,slant_distance,time_to_landing
KSFO_lL9NcuBRa-Y_21.png,[[1153.9872  974.8309 1210.1403 1088.226 ]],[[1146.0 985.0 1218.0 1089.0]],[0],0.8146561304639776,0.9985521103267158,0.7192498887854044,0.7740991924587921,[0.9433733],[[1164.3752  978.3023 1202.3848 1081.7025]],[[1143.5991   971.35944 1217.8958  1094.7494 ]],0.0,9167.458,,45.0
LFSB_15_35_09.jpeg,[[1185.9962 1226.651  1336.7687 1344.7882]],[[1180.9999999999998 1227.0 1335.9999999999998 1333.0]],[0],0.7591172424895792,0.9999999999391357,0.8669114270891649,0.9677663494874671,[0.952886],[[1196.3843 1230.1224 1329.0132 1338.2648]],[[1175.6082 1223.1796 1344.5242 1351.3116]],1.0,21643.56,2.8335600000000003,
CYVR_26R_35_12.jpeg,[[1735.4071 1205.5208 1822.7557 1326.8411]],[[1737.0 1207.0 1820.0 1327.0]],[0],0.7189920305625754,0.9999999998995983,0.9374623748962063,0.9986755370091064,[0.94948864],[[1745.7952 1208.9922 1815.0002 1320.3176]],[[1725.019  1202.0493 1830.5112 1333.3645]],1.0,13852.727,2.25944,
LTAI_18L_35_16.jpeg,[[ 847.94794 1135.6587   898.5372  1223.8    ]],[[844.0 1139.0 900.0 1224.0]],[0],0.7056894386773188,0.9999999997899159,0.8703468217161693,0.9012540885427852,[0.9458674],[[ 858.336  1139.1301  890.7817 1217.2766]],[[ 837.5599  1132.1873   906.29266 1230.3235 ]],1.0,6745.177,1.852,
EDDV_09L_35_10.jpeg,[[1635.2399 1083.8984 1920.1971 1281.3606]],[[1633.0 1086.0 1911.0 1286.0]],[0],0.8842183157484863,0.9999999999820144,0.9289092773364058,0.9689327990228795,[0.96091413],[[1645.6279 1087.3699 1912.4417 1274.8372]],[[1624.8518 1080.427  1927.9526 1287.884 ]],1.0,62880.4,2.75948,
FTTJ_5_35_25.jpeg,[[1211.1224 1273.057  1323.0721 1376.2062]],"[[1214.0000000000002 1279.0000000000002 1320.0000000000002
  1378.0000000000002]]",[0],0.7129426095402633,0.9999999999047074,0.877845373535108,0.9818805732176692,[0.9350041],[[1221.5105 1276.5284 1315.3167 1369.6827]],[[1200.7344 1269.5856 1330.8276 1382.7296]],1.0,14719.277,0.8334,
RJAA_34R_35_14.jpeg,[[1215.4382 1166.2666 1336.7031 1307.6023]],[[1211.0 1166.0 1335.0 1309.0]],[0],0.8405082200771168,0.9999999999436048,0.9402222726458721,0.9529858627889551,[0.9658188],[[1225.8263 1169.738  1328.9476 1301.0789]],[[1205.0502 1162.7952 1344.4586 1314.1257]],1.0,21096.76,2.7409600000000003,
LFRS_03_35_20.jpeg,[[1284.9329  966.7707 1544.5388 1148.126 ]],[[1274.9999999999998 967.0 1546.9999999999998 1149.0]],[0],0.9314470115476279,0.9999999999797996,0.9487092827261306,0.9498501633762467,[0.9650197],[[1295.3209  970.2421 1536.7833 1141.6025]],[[1274.5448   963.29926 1552.2943  1154.6494 ]],1.0,53147.414,1.50012,
CYYZ_23_35_28.jpeg,[[1105.485   994.1863 1259.1342 1174.5491]],[[1102.0 994.0 1249.0 1167.0]],[0],0.7776573725281088,0.9999999999606779,0.8750674727356933,0.9752413848132094,[0.9456552],[[1115.873   997.6577 1251.3787 1168.0256]],[[1095.0969   990.71484 1266.8896  1181.0725 ]],1.0,32702.062,0.90748,
KJFK_22L_35_18.jpeg,[[1456.8258  944.4181 1490.5573 1026.8765]],[[1459.0 945.0 1494.0 1028.0]],[0],0.605711552556328,0.9999999996557659,0.8327723453508169,0.8894306882129034,[0.9208393],[[1467.2139  947.8895 1482.8018 1020.353 ]],[[1446.4377   940.94666 1498.3127  1033.3999 ]],1.0,4796.012,1.35196,
FTTJ_23_35_06.jpeg,[[ 905.5144 1004.1112 1113.6727 1158.3002]],[[911.0 1007.0 1106.0 1154.0]],[0],0.7714955084828088,0.9999999999651142,0.89310982463526,0.9999999999651142,[0.93664265],[[ 915.90247 1007.58264 1105.9172  1151.7767 ]],[[ 895.12634 1000.6398  1121.4282  1164.8236 ]],1.0,37155.11,4.22256,
