               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.070982,            0.014578,                   0,              0.7431,             0.71137,             0.76023,             0.37954,              0.0377,           0.0081682,                   0,            0.070042,           0.0033287,           0.0033287
                   1,            0.041752,           0.0086177,                   0,             0.95438,             0.85538,             0.93515,             0.57777,            0.030288,           0.0056849,                   0,            0.039976,           0.0065961,           0.0065961
                   2,            0.037415,            0.006347,                   0,             0.93692,             0.91823,             0.96868,             0.60451,             0.02812,            0.004269,                   0,           0.0098436,           0.0097975,           0.0097975
                   3,            0.034182,           0.0053587,                   0,             0.96258,             0.95426,             0.97675,             0.63857,            0.025496,           0.0036818,                   0,            0.009703,            0.009703,            0.009703
                   4,            0.029583,           0.0047143,                   0,             0.98001,             0.98094,             0.99353,             0.71358,             0.02077,           0.0032356,                   0,            0.009703,            0.009703,            0.009703
                   5,            0.026697,           0.0042919,                   0,             0.98953,             0.98249,              0.9942,              0.7466,            0.018574,           0.0028467,                   0,            0.009604,            0.009604,            0.009604
                   6,            0.024319,           0.0039919,                   0,             0.99131,             0.98861,             0.99478,             0.77573,            0.016528,           0.0026661,                   0,            0.009505,            0.009505,            0.009505
                   7,            0.022988,           0.0038022,                   0,             0.99133,             0.99025,              0.9946,             0.78941,            0.016078,           0.0025377,                   0,            0.009406,            0.009406,            0.009406
                   8,            0.021788,           0.0036982,                   0,              0.9917,             0.99358,             0.99462,             0.80659,             0.01451,           0.0025154,                   0,            0.009307,            0.009307,            0.009307
                   9,            0.020643,            0.003537,                   0,             0.99559,             0.99376,              0.9948,             0.82549,            0.013597,           0.0023526,                   0,            0.009208,            0.009208,            0.009208
                  10,            0.020232,           0.0034619,                   0,             0.99558,             0.99446,             0.99492,             0.82436,            0.013697,           0.0023979,                   0,            0.009109,            0.009109,            0.009109
                  11,            0.019302,           0.0033923,                   0,             0.99688,             0.99566,             0.99494,             0.83402,            0.013166,           0.0022547,                   0,             0.00901,             0.00901,             0.00901
                  12,            0.018844,           0.0033598,                   0,             0.99612,             0.99688,             0.99498,             0.84455,            0.012518,           0.0021685,                   0,            0.008911,            0.008911,            0.008911
                  13,            0.018544,            0.003287,                   0,             0.99626,             0.99619,             0.99498,             0.84685,            0.011623,           0.0021449,                   0,            0.008812,            0.008812,            0.008812
                  14,            0.018186,           0.0032025,                   0,             0.99792,             0.99741,             0.99497,             0.85245,            0.012197,           0.0021209,                   0,            0.008713,            0.008713,            0.008713
                  15,            0.017678,           0.0031473,                   0,             0.99857,             0.99827,               0.995,             0.86373,            0.011189,           0.0020317,                   0,            0.008614,            0.008614,            0.008614
                  16,            0.017128,           0.0031233,                   0,             0.99548,             0.99861,             0.99493,             0.87114,            0.010546,           0.0019868,                   0,            0.008515,            0.008515,            0.008515
                  17,            0.016691,           0.0030331,                   0,             0.99807,             0.99827,             0.99496,             0.86752,            0.010602,           0.0019461,                   0,            0.008416,            0.008416,            0.008416
                  18,            0.016688,           0.0030521,                   0,             0.99931,              0.9978,               0.995,             0.87553,            0.010263,           0.0019145,                   0,            0.008317,            0.008317,            0.008317
                  19,            0.016291,           0.0029693,                   0,             0.99792,             0.99815,             0.99498,             0.88549,           0.0097886,           0.0018628,                   0,            0.008218,            0.008218,            0.008218
                  20,            0.016177,           0.0029724,                   0,             0.99827,             0.99735,             0.99479,             0.87487,            0.010104,           0.0018888,                   0,            0.008119,            0.008119,            0.008119
                  21,            0.015968,            0.002902,                   0,              0.9986,             0.99792,               0.995,             0.88379,           0.0095535,           0.0018484,                   0,             0.00802,             0.00802,             0.00802
                  22,             0.01542,           0.0028592,                   0,             0.99869,             0.99827,               0.995,             0.88914,           0.0092107,           0.0018043,                   0,            0.007921,            0.007921,            0.007921
                  23,            0.015333,            0.002815,                   0,             0.99936,             0.99723,               0.995,              0.8885,           0.0091598,           0.0017897,                   0,            0.007822,            0.007822,            0.007822
                  24,            0.015159,           0.0028384,                   0,             0.99965,             0.99858,               0.995,             0.89105,           0.0092318,           0.0018035,                   0,            0.007723,            0.007723,            0.007723
                  25,            0.014887,           0.0027612,                   0,             0.99827,             0.99849,             0.99497,             0.90391,           0.0084446,            0.001709,                   0,            0.007624,            0.007624,            0.007624
                  26,            0.014916,           0.0028145,                   0,             0.99757,             0.99752,             0.99495,             0.89778,           0.0085813,           0.0017426,                   0,            0.007525,            0.007525,            0.007525
                  27,            0.014802,           0.0027716,                   0,             0.99931,             0.99789,               0.995,             0.90099,           0.0084268,           0.0016919,                   0,            0.007426,            0.007426,            0.007426
                  28,            0.014343,            0.002739,                   0,             0.99961,             0.99861,               0.995,             0.90389,           0.0083508,           0.0016542,                   0,            0.007327,            0.007327,            0.007327
                  29,            0.014136,           0.0026966,                   0,             0.99859,             0.99792,               0.995,             0.91282,           0.0078554,           0.0016379,                   0,            0.007228,            0.007228,            0.007228
                  30,            0.013968,           0.0026782,                   0,              0.9996,             0.99861,               0.995,             0.91217,           0.0078965,           0.0016277,                   0,            0.007129,            0.007129,            0.007129
                  31,            0.013712,            0.002625,                   0,             0.99953,             0.99861,               0.995,             0.91713,            0.007584,           0.0015823,                   0,             0.00703,             0.00703,             0.00703
                  32,            0.013702,           0.0026122,                   0,             0.99931,             0.99818,             0.99499,             0.91805,           0.0075457,           0.0015798,                   0,            0.006931,            0.006931,            0.006931
                  33,            0.013505,           0.0025863,                   0,             0.99908,             0.99792,               0.995,              0.9232,           0.0073906,           0.0015518,                   0,            0.006832,            0.006832,            0.006832
                  34,            0.013176,           0.0025333,                   0,             0.99923,             0.99896,               0.995,             0.92582,           0.0071485,           0.0015188,                   0,            0.006733,            0.006733,            0.006733
                  35,            0.013399,           0.0025783,                   0,             0.99894,             0.99861,               0.995,             0.92414,            0.007127,           0.0015285,                   0,            0.006634,            0.006634,            0.006634
                  36,            0.012978,           0.0025376,                   0,             0.99978,             0.99896,               0.995,             0.92532,           0.0070656,           0.0014928,                   0,            0.006535,            0.006535,            0.006535
                  37,             0.01291,           0.0025075,                   0,             0.99965,             0.99918,               0.995,             0.92585,           0.0070202,              0.0015,                   0,            0.006436,            0.006436,            0.006436
                  38,            0.013014,           0.0024836,                   0,             0.99959,             0.99931,               0.995,             0.93016,           0.0068777,            0.001489,                   0,            0.006337,            0.006337,            0.006337
                  39,            0.012854,           0.0025023,                   0,             0.99993,             0.99931,               0.995,             0.93425,           0.0067313,           0.0014692,                   0,            0.006238,            0.006238,            0.006238
                  40,            0.012832,           0.0024727,                   0,             0.99965,             0.99917,               0.995,             0.93083,           0.0066964,           0.0014422,                   0,            0.006139,            0.006139,            0.006139
                  41,            0.012568,           0.0024556,                   0,                   1,             0.99896,               0.995,             0.93424,           0.0067151,           0.0014425,                   0,             0.00604,             0.00604,             0.00604
                  42,            0.012387,           0.0024295,                   0,             0.99965,             0.99896,               0.995,             0.93771,           0.0064986,            0.001423,                   0,            0.005941,            0.005941,            0.005941
                  43,            0.012155,           0.0024331,                   0,             0.99997,             0.99861,               0.995,             0.94399,           0.0062967,           0.0014024,                   0,            0.005842,            0.005842,            0.005842
                  44,            0.012259,           0.0023771,                   0,                   1,             0.99857,               0.995,             0.93812,            0.006292,           0.0013982,                   0,            0.005743,            0.005743,            0.005743
                  45,            0.012125,           0.0023984,                   0,             0.99992,             0.99861,               0.995,             0.94069,           0.0063017,            0.001386,                   0,            0.005644,            0.005644,            0.005644
                  46,            0.011922,           0.0023646,                   0,             0.99997,             0.99931,               0.995,             0.94362,           0.0061969,            0.001363,                   0,            0.005545,            0.005545,            0.005545
                  47,            0.011793,           0.0023452,                   0,                   1,             0.99928,               0.995,             0.94728,           0.0059652,           0.0013396,                   0,            0.005446,            0.005446,            0.005446
                  48,            0.011726,           0.0023455,                   0,                   1,             0.99891,               0.995,             0.94647,           0.0059998,           0.0013459,                   0,            0.005347,            0.005347,            0.005347
                  49,            0.011606,            0.002332,                   0,             0.99965,             0.99888,               0.995,             0.94713,           0.0058752,            0.001324,                   0,            0.005248,            0.005248,            0.005248
                  50,            0.011662,           0.0022905,                   0,             0.99957,             0.99896,               0.995,             0.94734,           0.0058342,           0.0013146,                   0,            0.005149,            0.005149,            0.005149
                  51,            0.011356,           0.0022836,                   0,              0.9996,             0.99931,               0.995,             0.95007,           0.0057367,           0.0013097,                   0,             0.00505,             0.00505,             0.00505
                  52,            0.011239,           0.0023022,                   0,             0.99992,             0.99931,               0.995,             0.94873,           0.0056422,           0.0012954,                   0,            0.004951,            0.004951,            0.004951
                  53,            0.011071,           0.0022586,                   0,             0.99997,             0.99931,               0.995,             0.95154,           0.0056345,           0.0012865,                   0,            0.004852,            0.004852,            0.004852
                  54,            0.011185,           0.0022547,                   0,             0.99998,             0.99931,               0.995,             0.95178,           0.0056361,           0.0012757,                   0,            0.004753,            0.004753,            0.004753
                  55,            0.011004,           0.0022464,                   0,             0.99996,             0.99931,               0.995,              0.9543,           0.0055607,           0.0012624,                   0,            0.004654,            0.004654,            0.004654
